,0,1,2,3
0,0.0,36.24140167236328,0.0,16.0
1,2.0,72.62971115112305,2.0,32.0
2,1.0,109.52720260620117,3.0,48.0
3,5.0,144.95306777954102,8.0,64.0
4,0.0,184.4607048034668,8.0,80.0
5,2.0,224.72539901733398,10.0,96.0
6,0.0,263.9404106140137,10.0,112.0
7,0.0,303.5555763244629,10.0,128.0
8,1.0,341.39447021484375,11.0,144.0
9,2.0,377.0099105834961,13.0,160.0
10,0.0,414.502140045166,13.0,176.0
11,2.0,452.3235740661621,15.0,192.0
12,1.0,488.3861541748047,16.0,208.0
13,3.0,525.6533355712891,19.0,224.0
14,2.0,565.8729591369629,21.0,240.0
15,2.0,604.4954566955566,23.0,256.0
16,4.0,642.183780670166,27.0,272.0
17,1.0,680.0232772827148,28.0,288.0
18,0.0,718.1424255371094,28.0,304.0
19,4.0,751.7700424194336,32.0,320.0
20,2.0,788.1560897827148,34.0,336.0
21,1.0,826.8922233581543,35.0,352.0
22,1.0,863.437873840332,36.0,368.0
23,1.0,901.5029144287109,37.0,384.0
24,2.0,938.2691459655762,39.0,400.0
25,1.0,975.2758102416992,40.0,416.0
26,1.0,1012.2918167114258,41.0,432.0
27,4.0,1048.8720397949219,45.0,448.0
28,1.0,1088.1926574707031,46.0,464.0
29,2.0,1126.020839691162,48.0,480.0
30,2.0,1163.2713928222656,50.0,496.0
31,2.0,1202.1459999084473,52.0,512.0
32,3.0,1238.767692565918,55.0,528.0
33,3.0,1274.514217376709,58.0,544.0
34,3.0,1309.1104927062988,61.0,560.0
35,4.0,1344.083839416504,65.0,576.0
36,1.0,1380.6188049316406,66.0,592.0
37,2.0,1416.4914054870605,68.0,608.0
38,3.0,1451.2850875854492,71.0,624.0
39,2.0,1487.4882316589355,73.0,640.0
40,5.0,1523.7334365844727,78.0,656.0
41,4.0,1561.1393356323242,82.0,672.0
42,3.0,1595.5389366149902,85.0,688.0
43,2.0,1631.5453720092773,87.0,704.0
44,2.0,1668.344882965088,89.0,720.0
45,1.0,1704.1118507385254,90.0,736.0
46,3.0,1740.5099334716797,93.0,752.0
47,3.0,1775.9405899047852,96.0,768.0
48,2.0,1812.1622772216797,98.0,784.0
49,4.0,1847.246868133545,102.0,800.0
50,1.0,1885.5806159973145,103.0,816.0
51,5.0,1915.3738021850586,108.0,832.0
52,5.0,1947.7222747802734,113.0,848.0
53,3.0,1984.8720474243164,116.0,864.0
54,2.0,2019.32954788208,118.0,880.0
55,4.0,2052.6323165893555,122.0,896.0
56,5.0,2086.6998291015625,127.0,912.0
57,1.0,2126.8057746887207,128.0,928.0
58,4.0,2162.0409812927246,132.0,944.0
59,4.0,2195.5217628479004,136.0,960.0
60,1.0,2230.6480026245117,137.0,976.0
61,3.0,2266.3706436157227,140.0,992.0
62,1.0,2305.5564613342285,141.0,1008.0
63,4.0,2341.7022399902344,145.0,1024.0
64,3.0,2376.3067741394043,148.0,1040.0
65,3.0,2412.2091484069824,151.0,1056.0
66,3.0,2450.1617012023926,154.0,1072.0
67,3.0,2489.504077911377,157.0,1088.0
68,0.0,2526.0046768188477,157.0,1104.0
69,5.0,2559.1428985595703,162.0,1120.0
70,2.0,2595.894989013672,164.0,1136.0
71,0.0,2629.987724304199,164.0,1152.0
72,2.0,2661.6379928588867,166.0,1168.0
73,4.0,2695.9449043273926,170.0,1184.0
74,2.0,2735.6739349365234,172.0,1200.0
75,1.0,2772.8472213745117,173.0,1216.0
76,1.0,2810.062728881836,174.0,1232.0
77,2.0,2845.799793243408,176.0,1248.0
78,2.0,2885.7056732177734,178.0,1264.0
79,4.0,2924.4472732543945,182.0,1280.0
80,2.0,2958.4834518432617,184.0,1296.0
81,3.0,2991.3056831359863,187.0,1312.0
82,4.0,3025.8790321350098,191.0,1328.0
83,1.0,3061.992576599121,192.0,1344.0
84,5.0,3093.2791023254395,197.0,1360.0
85,2.0,3129.4946784973145,199.0,1376.0
86,5.0,3164.5204582214355,204.0,1392.0
87,2.0,3198.653949737549,206.0,1408.0
88,3.0,3234.2706260681152,209.0,1424.0
89,6.0,3268.0056648254395,215.0,1440.0
90,1.0,3306.2169761657715,216.0,1456.0
91,1.0,3342.9191246032715,217.0,1472.0
92,2.0,3378.1798210144043,219.0,1488.0
93,2.0,3415.151237487793,221.0,1504.0
94,0.0,3453.616039276123,221.0,1520.0
95,0.0,3488.1052284240723,221.0,1536.0
96,1.0,3529.5146484375,222.0,1552.0
97,3.0,3562.275287628174,225.0,1568.0
98,1.0,3596.7360038757324,226.0,1584.0
99,2.0,3630.0141067504883,228.0,1600.0
100,4.0,3666.753974914551,232.0,1616.0
101,2.0,3705.0203018188477,234.0,1632.0
102,4.0,3739.584613800049,238.0,1648.0
103,6.0,3770.6708450317383,244.0,1664.0
104,2.0,3806.6946029663086,246.0,1680.0
105,4.0,3839.7975997924805,250.0,1696.0
106,1.0,3874.403923034668,251.0,1712.0
107,3.0,3912.55912399292,254.0,1728.0
108,3.0,3947.5139808654785,257.0,1744.0
109,4.0,3980.5697708129883,261.0,1760.0
110,6.0,4013.1298446655273,267.0,1776.0
111,4.0,4047.966941833496,271.0,1792.0
112,2.0,4084.805274963379,273.0,1808.0
113,5.0,4118.275016784668,278.0,1824.0
114,3.0,4154.466197967529,281.0,1840.0
115,3.0,4190.42395401001,284.0,1856.0
116,1.0,4226.331546783447,285.0,1872.0
117,2.0,4263.7691078186035,287.0,1888.0
118,1.0,4300.920135498047,288.0,1904.0
119,3.0,4339.1221923828125,291.0,1920.0
120,6.0,4370.778160095215,297.0,1936.0
121,2.0,4402.628200531006,299.0,1952.0
122,5.0,4437.865760803223,304.0,1968.0
123,4.0,4471.179023742676,308.0,1984.0
124,5.0,4504.516342163086,313.0,2000.0
125,2.0,4541.524345397949,315.0,2016.0
126,3.0,4573.553714752197,318.0,2032.0
127,7.0,4602.117275238037,325.0,2048.0
128,1.0,4639.822109222412,326.0,2064.0
129,3.0,4675.0474281311035,329.0,2080.0
130,6.0,4707.062931060791,335.0,2096.0
131,0.0,4742.515064239502,335.0,2112.0
132,4.0,4772.285760879517,339.0,2128.0
133,4.0,4803.902059555054,343.0,2144.0
134,4.0,4838.300901412964,347.0,2160.0
135,4.0,4869.13388633728,351.0,2176.0
136,8.0,4899.110431671143,359.0,2192.0
137,2.0,4932.206806182861,361.0,2208.0
138,6.0,4964.599800109863,367.0,2224.0
139,7.0,4992.617218017578,374.0,2240.0
140,2.0,5029.688697814941,376.0,2256.0
141,6.0,5062.324653625488,382.0,2272.0
142,5.0,5097.022506713867,387.0,2288.0
143,7.0,5129.8920249938965,394.0,2304.0
144,1.0,5169.789375305176,395.0,2320.0
145,5.0,5200.899196624756,400.0,2336.0
146,7.0,5232.033386230469,407.0,2352.0
147,7.0,5263.80871963501,414.0,2368.0
148,8.0,5293.822542190552,422.0,2384.0
149,2.0,5330.21648979187,424.0,2400.0
150,2.0,5363.739683151245,426.0,2416.0
151,8.0,5391.51416015625,434.0,2432.0
152,3.0,5426.150409698486,437.0,2448.0
153,3.0,5457.265939712524,440.0,2464.0
154,2.0,5496.356271743774,442.0,2480.0
155,9.0,5522.697885513306,451.0,2496.0
156,2.0,5554.002439498901,453.0,2512.0
157,2.0,5589.620496749878,455.0,2528.0
158,6.0,5619.49952507019,461.0,2544.0
159,4.0,5652.346601486206,465.0,2560.0
160,7.0,5681.098012924194,472.0,2576.0
161,5.0,5716.339708328247,477.0,2592.0
162,3.0,5751.128171920776,480.0,2608.0
163,4.0,5786.955556869507,484.0,2624.0
164,5.0,5818.2370529174805,489.0,2640.0
165,4.0,5850.4183349609375,493.0,2656.0
166,2.0,5886.33967590332,495.0,2672.0
167,3.0,5919.563213348389,498.0,2688.0
168,3.0,5955.244045257568,501.0,2704.0
169,5.0,5986.682907104492,506.0,2720.0
170,3.0,6024.4881591796875,509.0,2736.0
171,2.0,6060.756313323975,511.0,2752.0
172,5.0,6089.851371765137,516.0,2768.0
173,4.0,6125.310745239258,520.0,2784.0
174,7.0,6151.842903137207,527.0,2800.0
175,7.0,6181.31081199646,534.0,2816.0
176,5.0,6212.375547409058,539.0,2832.0
177,2.0,6252.293474197388,541.0,2848.0
178,3.0,6287.2973918914795,544.0,2864.0
179,6.0,6317.857641220093,550.0,2880.0
180,5.0,6351.837606430054,555.0,2896.0
